titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;fecha_extraccion;volumen
polvazo;contemporanea;literatura contemporanea;3;24000,0;22800,0;0,05;volckmer, katharina;anagrama editorial;rustico;0,134;22,0;14,0;1,0;2025,0;168,0;POLVAZOJimmie llega un día más a su lugar de trabajo: un call center de una agencia de viajes londinense donde van a parar, como a un purgatorio, un desfile de perdedores con pasados mejores y un futuro incierto. Trae consigo carmín en los labios, un pelo de un muerto escondido en la cartera y la presencia esquiva de una madre italiana, eterna viuda con la que convive a su pesar.Comparten con él ese espacio liminal una multitud de personajes que son islas: un mando intermedio obsesionado con monitorizar las funciones corporales de sus empleados, un amante en el armario del que ahora lo separan un ascenso y una esposa, un compañero de mesa alemán a medio camino entre un telégrafo y un manual de instrucciones, una mujer sueca cuyo lenguaje del amor es el rencor y una joven burguesa catalana desheredada por su familia a quien la desdicha parece no poder tocar.«Gracias por la espera. Le atiende Jimmie. ¿En qué puedo ayudarle?» abre, como una contraseña, las puertas a un desfile de quejas esperpénticas que insinúan una clase distinta de soledad. Voces a las que el narrador asigna un rostro y un pasado protestan porque dos amantes no han cerrado las cortinas, por no poder pasar un fin de semana romántico a solas o porque un pelo en la almohada suena como el eco de una infidelidad pasada, y reciben a cambio la absolución a su dolor existencial en forma de observaciones propias de un delirio psicoanalítico.Como interludio a estas llamadas, afloran entre los cubículos fragmentos de recuerdos, como coletazos de una humanidad asfixiada por inflexibles códigos de conducta corporativos, y retales de conversaciones inacabadas que presagian un despido inminente.Con una prosa elegante, una mirada tierna y un escandaloso humor negro, Polvazo explora grandes temas de las sociedades capitalistas contemporáneas, como la soledad, la pérdida, los sueños no realizados y el deseo insatisfecho de quienes creen no merecerlo.AdquieraPOLVAZOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788433929617-polvazo/;2025-08-24;308,0
no guardar nada;contemporanea;literatura contemporanea;3;19000,0;18050,0;0,05;salter, james;salamandra;rustico;0,418;22,0;14,0;1,0;2025,0;320,0;"NO GUARDAR NADAUn volumen póstumo que reúne los mejores textos de no ficción de James Salter.Recopilación póstuma, este libro se compone de entrevistas con escritores, crónicas de viaje, deportivas y de otras diversas materias, en las que Salter escribe tanto sobre la belleza del mundo natural como sobre los médicos responsables del primer corazón artificial, sus días como piloto de caza, los códigos del honor que aprendió en West Point o sus años como guionista de Hollywood; sin olvidar agudas reflexiones sobre el arte de la escritura y mordaces perfiles sobre autores especialmente queridos por él como Graham Greene, Vladimir Nabokov, Isaak Bábel o Antonia Fraser. Unas piezas que revelan la amplitud y profundidad del interés de James Salter por el mundo y las personas.AdquieraNO GUARDAR NADAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788410340138-no-guardar-nada/;2025-08-24;308,0
el club de los acertijos;narrativa extranjera;literatura narrativa extranjera;4;20000,0;19000,0;0,05;burr, samuel;roca editorial;rustico;0,492;23,0;15,0;1,0;2025,0;392,0;EL CLUB DE LOS ACERTIJOSA veces, encontrar tu lugar en el mundo es el mayor enigma de todos. Una historia que te llegará al corazón.Clayton Stumper no sabe de dónde viene. No tiene más de veinticinco años, pero viste como tu abuelo y bebe jerez como tu tía. Abandonado al nacer frente a la entrada del Club de los acertijos, fue criado por las mentes más agudas de Gran Bretaña, un grupo de hombres y mujeres especialistas en crear todo tipo de enigmas, rompecabezas, crucigramas, juegos de palabras… y ahora es uno de los últimos supervivientes de una institución en decadencia. Cuando Pippa Allsbrook, el alma que impulsó la creación de dicha comunidad, fallece, le deja un último acertijo: la promesa de revelar el misterio de su procedencia. Cuando Clay comienza a interpretar las pistas, descubre algo que nadie en el grupo ha podido resolver, y es un secreto que lo cambiará todo.AdquieraEL CLUB DE LOS ACERTIJOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788419965141-el-club-de-los-acertijos/;2025-08-24;345,0
noche negra;narrativa latinoamericana;literatura narrativa latinoamericana;5;18000,0;17100,0;0,05;quintana, pilar;alfaguara;rustico;0,3;24,0;15,0;1,0;2025,0;272,0;NOCHE NEGRAUna mujer en el corazón de las tinieblas, convertida en la sombra y en la amenaza. Una sobreviviente, perdida y ciega, en la cerrazón del mundo. La extraordinaria nueva novela de Pilar Quintana.Rosa deja atrás su vida citadina para irse a vivir con su novio irlandés a orillas del Pacífico colombiano, en medio de una naturaleza exuberante, por igual fascinante y aterradora. Él debe partir y ella se queda sola. En los cuatro días en los que transcurre el libro debe enfrentarse a un universo amenazante: los indómitos elementos de una selva monstruosa (vendavales, bichos, y la noche absolutamente cerrada), el acecho de los vecinos, que una vez la saben sola se convierten en seres impredecibles y casi de pesadilla, las dudas sobre su relación y sobre la decisión de dejarlo todo para internarse en un hábitat tan inhóspito. A la par de estos días de espanto, el lector va conociendo el pasado de Rosa, sus traumas, sus secretos, la explicación de este presente intimidante.AdquieraNOCHE NEGRAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563845440-noche-negra/;2025-08-24;360,0
mujeres que corren con los lobos  (edicion limitada);autoayuda;autoayuda;2;20000,0;15000,0;0,25;pinkola estes, clarissa;b de bolsillo;empastado/bolsillo;0,738;22,0;15,0;1,0;2025,0;784,0;MUJERES QUE CORREN CON LOS LOBOS  (EDICION LIMITADA)«En toda mujer hay fuerzas poderosas pendientes de descubrir.»Mujeres que corren con los lobos es un fascinante mosaico de historias que nos ofrece una nueva visión de lo femenino y de sus posibilidades.Dentro de toda mujer alienta una vida secreta, una fuerza poderosa llena de buenos instintos, creatividad y sabiduría. Es la Mujer Salvaje, una especie en peligro de extinción debido a los contantes esfuerzos de la sociedad por «civilizar» a las mujeres y constreñirlas a rígidos papeles que anulan su esencia instintiva.En este libro, Clarissa Pinkola Estés revela ricos mitos interculturales, cuentos de hadas e historias (muchas de ellas relativas a su propia familia) para contribuir a que las mujeres recuperen su fuerza y su salud, atributos visionarios de esta esencia instintiva.Mediante los relatos y los comentarios de la autora, examinamos el amor y comprendemos a la Mujer Salvaje. Estés ha creado una psicología femenina en un sentido más verdadero, el que lleva al conocimiento del alma.AdquieraMUJERES QUE CORREN CON LOS LOBOS  (EDICION LIMITADA)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788413145877-mujeres-que-corren-con-los-lobos-edicion-limitada/;2025-08-24;330,0
el problema de los tres cuerpos;ciencia ficcion;literatura ciencia ficcion;8;14000,0;10500,0;0,25;liu, cixin;b de bolsillo;rustico/bolsillo;0,292;19,1;12,8;1,0;2025,0;416,0;EL PROBLEMA DE LOS TRES CUERPOSCixin Liu ha sido considerado el gran descubrimiento del género y es capaz de vender cuatro millones de ejemplares solamente en China y de hacerse con prescriptores de la talla de Barack Obama, quien seleccionó El problema de los tres cuerpos como una de sus lecturas navideñas de 2015, y Mark Zuckerberg, que lo convirtió en la primera novela de su club de lectura. El público y la crítica de los cinco continentes se rinden ante esta obra maestra, enormemente visionaria, sobre el papel de la ciencia en nuestras sociedades, que nos ayuda a comprender el pasado y el futuro de China, pero también, leída en clave geopolítica, del mundo en que vivimos.AdquieraEL PROBLEMA DE LOS TRES CUERPOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788413143415-el-problema-de-los-tres-cuerpos/;2025-08-24;244,48000000000002
el baile de la victoria;autores chilenos;literatura autores chilenos;3;15000,0;11250,0;0,25;skarmeta, antonio;debolsillo;rustico;0,335;19,0;12,5;1,0;2025,0;388,0;EL BAILE DE LA VICTORIAAl salir de la cárcel, un imaginativo joven y un famoso e irónico ladrón Cenen dificultades para rehacer su vida. El dispar dúo decide que la única salida que les queda es dar el Gran Golpe. En el camino hacia esta meta conocen a la joven bailarina Victoria, cuyos infortunios calan hondo en sus sentimientos. Desde su precaria situación, los dos hombres se entregan a uno de los triángulos de amor y amistad más bellos, graciosos y emocionantes de la literatura contemporánea.El autor de El cartero de Neruda demuestra en El baile de la Victoria todo el encanto de su envolvente arte narrativo.AdquieraEL BAILE DE LA VICTORIAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563257052-el-baile-de-la-victoria/;2025-08-24;237,5
doquier;contemporanea;literatura contemporanea;2;18900,0;17960,0;0,05;gorodischer, angelica;seix barral;rustico;0,322;23,0;13,5;1,5;2025,0;224,0;DOQUIERLa vida y amores de la ciudad pasan por el umbral de una herboristería.Durante los últimos meses de un siglo que podría ser el XVIII, en una ciudad junto a un río, una herboristería cuida la salud de sus conciudadanos, al tiempo que, como la jabonería de Vieytes, se constituye en punto neurálgico del chisme citadino. Quien la preside rememora vida y amores desde la aparente postración en un sillón. Su gato-gata, los jóvenes Raimundo y Crocetta, pero también Elodia y Casiano, todo en esta novela magistral tematiza la convicción profunda de que si está vivo, muta.Enseñoreada de su oficio, brillante en la construcción y la prosa, Angélica Gorodischer devela las capas de la trama de Doquier como se pela una cebolla: con paciencia.AdquieraDOQUIERen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566424208-doquier/;2025-08-24;465,75
robots e imperio;ciencia ficcion;literatura ciencia ficcion;10;15000,0;11250,0;0,25;asimov, isaac;debolsillo;rustico/bolsillo;0,36;19,0;12,5;3,0;2024,0;512,0;ROBOTS E IMPERIOEsta novela supone un sensacional hito en la gran galaxia de ciencia ficción de Asimov y constituye la apasionante continuación del bestseller Los robots del amanecer. Aquí vemos cómo el futuro del Universo corre peligro. Aunque se han debilitado las fuerzas de los siniestros Spacers, el doctor Kelden Amadiro no ha olvidado -ni perdonado- su humillante derrota a manos de Elijah Baley, el dorado héroe de la población terrestre. Amadiro ansía la venganza y está más decidido que nunca a consumar la destrucción del Planeta Tierra.AdquieraROBOTS E IMPERIOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287745155-robots-e-imperio/;2025-08-24;712,5
fuego y sangre;narrativa fantastica;literatura narrativa fantastica;14;19000,0;14250,0;0,25;martin, george r.r.;debolsillo;rustico/bolsillo;0,73;22,0;14,0;4,5;2022,0;888,0;FUEGO Y SANGRESu emblema es un dragón de tres cabezas, y su lema, Fuego y Sangre. El nuevo libro de George R. R. Martin narra la fascinante historia de los Targaryan, la dinastía que reinó en Poniente 300 años antes de lo narrado en «Canción de hielo y fuego», la saga que inspiró la serie de HBO Juego de Tronos.Siglos antes de que tuvieran lugar los acontecimientos que se relatan en «Canción de hielo y fuego», la casa Targaryen, la única dinastía de señores dragón que sobrevivió a la Maldición de Valyria, se asentó en la isla de Rocadragón.Aquí tenemos el primero de los dos volúmenes en el que el autor de Juego de tronos nos cuenta, con todo lujo de detalles, la historia de tan fascinante familia: empezando por Aegon I Targaryen, creador del icónico Trono de Hierro, y seguido por el resto de las generaciones de Targaryens que lucharon con fiereza por conservar el poder, y el trono, hasta la llegada de la guerra civil que casi acaba con ellos.¿Qué pasó realmente durante la Danza de dragones? ¿Por qué era tan peligroso acercarse a Valyria después de la Maldición? ¿Cómo era Poniente cuando los dragones dominaban los cielos? Estas, y otras muchas, son las preguntas a las que responde esta monumental crónica, narrada por un culto maestre de la Ciudadela, que anticipa el ya conocido universo de George R.R. Martin.Fuego y Sangre brindará a los lectores la oportunidad de tener otra visión de la fascinante historia de Poniente. Esta obra, magníficamente ilustrada con 80 láminas inéditas de Doug Wheatley, se convertirá, sin duda, en una lectura ineludible para todos los fans de la aclamada serie.AdquieraFUEGO Y SANGREen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287513303-fuego-y-sangre/;2025-08-24;1386,0
