titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;volumen
el problema de los tres cuerpos;ciencia ficcion;literatura ciencia ficcion;8;14000,0;10500,0;0,25;liu, cixin;b de bolsillo;rustico/bolsillo;0,292;19,1;12,8;1,0;2025,0;416,0;EL PROBLEMA DE LOS TRES CUERPOSCixin Liu ha sido considerado el gran descubrimiento del género y es capaz de vender cuatro millones de ejemplares solamente en China y de hacerse con prescriptores de la talla de Barack Obama, quien seleccionó El problema de los tres cuerpos como una de sus lecturas navideñas de 2015, y Mark Zuckerberg, que lo convirtió en la primera novela de su club de lectura. El público y la crítica de los cinco continentes se rinden ante esta obra maestra, enormemente visionaria, sobre el papel de la ciencia en nuestras sociedades, que nos ayuda a comprender el pasado y el futuro de China, pero también, leída en clave geopolítica, del mundo en que vivimos.AdquieraEL PROBLEMA DE LOS TRES CUERPOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788413143415-el-problema-de-los-tres-cuerpos/;244,48000000000002
el baile de la victoria;autores chilenos;literatura autores chilenos;3;15000,0;11250,0;0,25;skarmeta, antonio;debolsillo;rustico;0,335;19,0;12,5;1,0;2025,0;388,0;EL BAILE DE LA VICTORIAAl salir de la cárcel, un imaginativo joven y un famoso e irónico ladrón Cenen dificultades para rehacer su vida. El dispar dúo decide que la única salida que les queda es dar el Gran Golpe. En el camino hacia esta meta conocen a la joven bailarina Victoria, cuyos infortunios calan hondo en sus sentimientos. Desde su precaria situación, los dos hombres se entregan a uno de los triángulos de amor y amistad más bellos, graciosos y emocionantes de la literatura contemporánea.El autor de El cartero de Neruda demuestra en El baile de la Victoria todo el encanto de su envolvente arte narrativo.AdquieraEL BAILE DE LA VICTORIAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563257052-el-baile-de-la-victoria/;237,5
robots e imperio;ciencia ficcion;literatura ciencia ficcion;10;15000,0;11250,0;0,25;asimov, isaac;debolsillo;rustico/bolsillo;0,36;19,0;12,5;3,0;2024,0;512,0;ROBOTS E IMPERIOEsta novela supone un sensacional hito en la gran galaxia de ciencia ficción de Asimov y constituye la apasionante continuación del bestseller Los robots del amanecer. Aquí vemos cómo el futuro del Universo corre peligro. Aunque se han debilitado las fuerzas de los siniestros Spacers, el doctor Kelden Amadiro no ha olvidado -ni perdonado- su humillante derrota a manos de Elijah Baley, el dorado héroe de la población terrestre. Amadiro ansía la venganza y está más decidido que nunca a consumar la destrucción del Planeta Tierra.AdquieraROBOTS E IMPERIOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287745155-robots-e-imperio/;712,5
fuego y sangre;narrativa fantastica;literatura narrativa fantastica;14;19000,0;14250,0;0,25;martin, george r.r.;debolsillo;rustico/bolsillo;0,73;22,0;14,0;4,5;2022,0;888,0;FUEGO Y SANGRESu emblema es un dragón de tres cabezas, y su lema, Fuego y Sangre. El nuevo libro de George R. R. Martin narra la fascinante historia de los Targaryan, la dinastía que reinó en Poniente 300 años antes de lo narrado en «Canción de hielo y fuego», la saga que inspiró la serie de HBO Juego de Tronos.Siglos antes de que tuvieran lugar los acontecimientos que se relatan en «Canción de hielo y fuego», la casa Targaryen, la única dinastía de señores dragón que sobrevivió a la Maldición de Valyria, se asentó en la isla de Rocadragón.Aquí tenemos el primero de los dos volúmenes en el que el autor de Juego de tronos nos cuenta, con todo lujo de detalles, la historia de tan fascinante familia: empezando por Aegon I Targaryen, creador del icónico Trono de Hierro, y seguido por el resto de las generaciones de Targaryens que lucharon con fiereza por conservar el poder, y el trono, hasta la llegada de la guerra civil que casi acaba con ellos.¿Qué pasó realmente durante la Danza de dragones? ¿Por qué era tan peligroso acercarse a Valyria después de la Maldición? ¿Cómo era Poniente cuando los dragones dominaban los cielos? Estas, y otras muchas, son las preguntas a las que responde esta monumental crónica, narrada por un culto maestre de la Ciudadela, que anticipa el ya conocido universo de George R.R. Martin.Fuego y Sangre brindará a los lectores la oportunidad de tener otra visión de la fascinante historia de Poniente. Esta obra, magníficamente ilustrada con 80 láminas inéditas de Doug Wheatley, se convertirá, sin duda, en una lectura ineludible para todos los fans de la aclamada serie.AdquieraFUEGO Y SANGREen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287513303-fuego-y-sangre/;1386,0
el mesias de dune (dune 2);ciencia ficcion;literatura ciencia ficcion;15;12000,0;9000,0;0,25;herbert, frank;debolsillo;rustico/bolsillo;0,218;19,0;12,5;1,5;2021,0;304,0;EL MESIAS DE DUNE (DUNE 2)El mesías de Dune es la segunda entrega de la excepcional saga de Frank Herbert «Dune», considerada la mejor serie de ciencia ficción de todos los tiempos.Arrakis, también llamado Dune: un mundo desierto en pos del sueño de convertirse en un paraíso, cuna de mil guerras que se han extendido por todo el universo y de un anhelo mesiánico que intenta alcanzar el sueño más antiguo de la humanidad…Paul Atreides: un personaje mítico, perturbado por la cercana presencia de una sombra dominante: su hermana Alia. Y frente a ellos, los grandes intereses económicos, políticos y religiosos que sacuden los espacios interestelares: la CHOAM, la Cofradía espacial, el Landsraad, la Bene Gesserit…Todo ello, y mucho más, conforma esta segunda entrega de «Dune»: un fresco impresionante y una obra cumbre de la imaginación.AdquieraEL MESIAS DE DUNE (DUNE 2)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287513075-el-mesias-de-dune-dune-2/;356,25
una corte de rosas y espinas. edicion especial;narrativa fantastica;literatura narrativa fantastica;3;39900,0;31900,0;0,2;maas, sarah j.;crossbooks;tapa dura;0,82;22,5;14,5;3,0;2024,0;456,0;UNA CORTE DE ROSAS Y ESPINAS. EDICION ESPECIAL¡Llévate el éxito de ventas de Sarah J. Maas en una cuidadísima edición especial!Un cuento de hadas nunca había sido tan sexy. ¡Déjate seducir por la saga del momento! (Libro 1)Cuando la cazadora Feyre mata a un lobo en el bosque, una criatura bestial irrumpe en su casa para exigir una compensación. Así, es trasladada a una tierra mágica y engañosa de la que solo había oído hablar en las leyendas, donde Feyre descubre que su captor no es un animal sino Tamlin: una divinidad inmortal y letal que alguna vez reinó en su mundo.Mientras Feyre vive en su castillo, lo que siente por Tamlin muta de una hostilidad helada a una pasión ardiente y feroz, a pesar de todas las mentiras y advertencias a las que queda expuesta en ese mundo fantástico,bello y peligroso. Además, una vil sombra ancestral crece sobre la tierra de las hadas día a día, y Feyre debe encontrar la forma de detenerla… o condenar a Tamlin –y a su mundo– para siempre.AdquieraUNA CORTE DE ROSAS Y ESPINAS. EDICION ESPECIALen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788408285298-una-corte-de-rosas-y-espinas-edicion-especial/;978,75
ojos de perro azul;narrativa latinoamericana;literatura narrativa latinoamericana;5;11000,0;8250,0;0,25;garcia marquez, gabriel;debolsillo;rustico/bolsillo;0,134;19,0;12,5;1,0;2014,0;192,0;OJOS DE PERRO AZULEstos relatos tempranos de quien posteriormente sería premio Nobel fueron escritos y publicados entre 1947 y 1955, aunque, como libro, Ojos de perro azul no aparecería hasta 1974, cuando ya el escritor había publicado otros dos libros de relatos y cuatro novelas, de las que la última, Cien años de soledad, le proporcionaría su primer gran éxito internacional.En este libro se incluye su primer cuento célebre, «Monólogo de Isabel viendo llover en Macondo», ambientado en lo que sería el escenario de sus obras posteriores. El personaje de Isabel reaparecerá en su primera novela, y el tema de la lluvia cayendo interminablemente, en su personal versión del diluvio universal, acabaría integrándose suave y flexiblemente en Cien años de soledad. Este relato, incluido en todas las antologías del cuento latinoamericano de nuestros días, fue la primera piedra de ese gigantesco edificio, tan imaginario como real, que terminaría fundado el espacio literario más poderoso de las letras universales de nuestro tiempo: Macondo.AdquieraOJOS DE PERRO AZULen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789588886251-ojos-de-perro-azul/;237,5
mansfield park;clasicos universales;literatura clasicos universales;10;16000,0;12000,0;0,25;austen, jane;penguin clasicos;empastado/bolsillo;0,47;20,0;13,0;3,0;2017,0;563,0;MANSFIELD PARKCentrada en la figura de la humilde y discreta Fanny Price, esta novela, una de las más deliciosas de Jane Austen, cuenta las muchas vicisitudes en que se ve envuelta desde que a la edad de diez años va a vivir a Mansfield Park, nombre que recibe la casa de los Bertram, sus tíos ricos. Las distintas relaciones que establece con sus primos y con los diversos personajes que van apareciendo por la casa y complicando la trama, así como su evolución, con sus idas y venidas, sus avances y retrocesos, amores, rivalidades, tomas de conciencia y cambios de actitud, van desarrollando un relato ameno, romántico y entretenido que culmina en un final feliz.AdquieraMANSFIELD PARKen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789588925752-mansfield-park/;780,0
los sinsabores del verdadero policia;autores chilenos;literatura autores chilenos;10;13000,0;9750,0;0,25;bolano, roberto;debolsillo;rustico/bolsillo;0,4;19,0;12,5;1,7;2018,0;336,0;LOS SINSABORES DEL VERDADERO POLICIALa tercera y última de las novelas póstumas de Roberto Bolaño, un intrincado ejercicio narrativo que atraviesa toda su obra.Roberto Bolaño comenzó a escribir Los sinsabores del verdadero policía en los años ochenta del siglo XX, una época en la que aún estaba entregado a la poesía y no vislumbraba el legado que dejaría en los años venideros. El punto final a la obra, sin embargo, no lo puso hasta veinte años después, en los últimos días de su vida.Durante todo este tiempo, Bolaño recogió o apuntó por primera vez los nombres y los escenarios que se repetirían en otras obras como Estrella distante, Llamadas telefónicas y Los detectives salvajes. Así, desfilan por estas páginas, perdidos en la ficticia y terrible ciudad de Santa Teresa, el exiliado académico chileno Óscar Amalfitano, su hija Rosa, un sevillano a quien los rusos cortan la lengua, un escritor francés llamado Arcimboldi -que nos recuerda al literato desaparecido en 2666- todos ellos hilos entrecruzados en la trama de esta novela, muestra paradigmática del talante más vanguardista de su autor.«Los sinsabores del verdadero policía tiene un especial interés por su estrecha relación con el mejor Bolaño, por la fertilidad de su invención, por su identificación con los perdedores, por una ética que no necesita de principios éticos, por la lúcida lectura que hace de autores cercanos a él, por su radical independencia, por ofrecernos una novela moderna que no pierde el placer de la narración.» Del prólogo de Juan Antonio Masoliver RódenasAdquieraLOS SINSABORES DEL VERDADERO POLICIAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256635-los-sinsabores-del-verdadero-policia/;403,75
lazos de amor;autoayuda;autoayuda;10;12000,0;9000,0;0,25;weiss, brian;b de bolsillo;rustico/bolsillo;0,22;19,0;12,5;1,0;2020,0;288,0;LAZOS DE AMORBrian Weiss nos regala una maravillosa historia de amor entre dos seres perdidos que encontrarán definitivamente su destino.Pedro y Elizabeth no se conocían y nada indicaba que hubiera entre ellos la menor afinidad, salvo que la infelicidad de ambos los había llevado a ponerse en manos del mismo psiquiatra.El doctor Weiss supo intuir que Pedro y Elizabeth estaban ligados indisolublemente. Fueron necesarias muchas sesiones de hipnosis y el entusiasmo de un médico capaz de transgredir el marco de la ciencia al uso para que ambos recuperasen la memoria de sus vidas pasadas y fueran capaces de descubrir los lazos que les unían. La regresión a sus vidas anteriores les permitió dejar fluir sus sentimientos y unir definitivamente sus destinos. Sus recuerdos empezaron a coincidir…Brian Weiss es autor de grandes éxitos como Muchas vidas, muchos maestros y A través del tiempo.AdquieraLAZOS DE AMORen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789877801798-lazos-de-amor/;237,5
la receta de la felicidad;autoayuda;autoayuda;10;11000,0;8250,0;0,25;chopra, deepak;debolsillo;rustico/bolsillo;0,13;19,0;13,0;1,0;2012,0;136,0;"LA RECETA DE LA FELICIDADSiete principios para alcanzar la felicidad incluso en los momentos más difíciles. Deepak Chopra ha escrito la receta para alcanzar de forma natural una vida plena, consciente y feliz.Deepak Chopra destraba con asombrosa simplicidad los secretos del camino a la iluminación y ofrece una guía para alcanzar lo que siempre has soñado: Reconocer la verdadera felicidad Encontrar la auténtica autoestima, la que no depende de factores externos Volver al estado de alegría, paz y plenitud que es tuyo por derecho Concentrarse en el presente y aprender a vivir cabalmente. Vivir la iluminación; incluso un vistazo fugaz a la unidad de la conciencia puede tener un efecto transformador. Recuerda: la semilla de la felicidad que hay en ti es la clave para sanar el mundo.AdquieraLA RECETA DE LA FELICIDADen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9789563256987-la-receta-de-la-felicidad/;247,0
